company_name,address,city,state,county,zip1,zip2,url,latitude,longitude
Invest Appalachia,,,,,,,https://www.investappalachia.org/,0,0
New Bottom Line,,,,,,,http://www.newbottomline.com,0,0
Numi Kingdom Global Enterprise Trust,2870 Peachtree Rd NW Unit 872,Atlanta,GA,Fulton County,30305,,privateofficeofnumikingdom.org,33.832941,-84.384471
Meant2BFree,7305 Hancock Village Dr Ste 342,Chesterfield,VA,Chesterfield County,23112,,meant2bfree.com,37.454138,-77.66258
City of Albuquerque,1 Civic Plaza,Albuquerque,NM,Bernalillo County,87102,,cabq.gov,35.08756,-106.651579
HousingWorks RI,1 Empire Street,Providence,RI,Providence County,02903,,http://www.housingworksri.org,41.819883,-71.414313
City of Toledo Mayor's Office,1 Government Center Suite 1800,Toledo,OH,Lucas County,43604,,https://toledo.oh.gov/government/mayors-office/mayors-staff/,41.655194,-83.535087
Corporation for Ohio Appalachian Development,1 Pinchot Lane,Athens,OH,Athens County,45701,,http://www.coadinc.org/,39.338529,-82.069845
The University of New Mexico Office of Community Health,1 University of New Mexico,Albuquerque,NM,Bernalillo County,87131,,hsc.unmhttps://hsc.unm.edu/about/administrative-departments/community-health/.edu,35.056434,-106.63094
Empire Justice Center,1 W. Main Street Suite 200,Rochester,NY,Monroe County,14604,,http://www.empirejustice.org,43.155558,-77.612879
Capital For Change,10 Alexander Dr,Wallingford,CT,New Haven County,06492,,capitalforchange.org,41.48107,-72.800897
Reservoir Hill Improvement Council,10 E North Ave Suite 5,Baltimore,MD,City of Baltimore,21202,,reservoirhillbaltimore.org,39.311472,-76.615697
Enterprise Community Partners,10 G Street NE Suite 580,Washington,DC,District of Columbia,20002,,enterprisecommunity.com,38.899133,-77.008114
Massachusetts Alliance Against Predatory Lending,"10 Oxford St., #2R",Worcester,MA,Worcester County,01609,,maapl.info,42.263319,-71.807188
Rock Island Economic Growth Corporation,"100 19 Street, STE 109",Rock Island,IL,Rock Island County,61201,,http://www.economicgrowthcorporation.com/,41.511985,-90.573207
Bridge Investment CDC,"100 19th St, Ste 108",Rock Island,IL,Rock Island County,61201,,www.bridgeinvestmentcdc.org,41.511985,-90.573207
Southeast Alabama Community Action Partnership,100 George Wallace Drive,Enterprise,AL,Coffee County,36331,,southeastalabamacommunityactionpartnership.org,31.301397,-85.837465
"Urban Strategies, Inc.","100 N Broadway, Suite 1110",St. Louis,MO,St. Louis City,63102,,usi-inc.org,38.626453,-90.18895
Chicago Lawyers' Committee for Civil Rights,"100 North LaSalle Street, Suite 600",Chicago,IL,Cook County,60602,,https://www.clccrul.org/,41.883458,-87.632775
Low Income Investment Fund,"100 Pine Street, Suite 1800",San Franciso,CA,San Francisco County,94111,,http://www.liifund.org,37.792641,-122.39897
Fiesta Cristiana Mission Congregation,100 South Hughes Street,Apex,NC,Wake County,27502,,www.fiestacristiana.org,35.729325,-78.850485
CommunityWorks Carolina,100 W. Antrim Drive,Greenville,SC,Greenville County,29607,,https://communityworkscarolina.org/,34.841963,-82.365226
"HOND, INC.",100 West 10th Street Suite 100,Wilmington,DE,New Castle County,19801,,www.hond.org,39.745663,-75.548915
"Pratt Area Community Council, Inc. fka IMPACCT Brooklyn","1000 Dean Street, Suite 420",Brooklyn,NY,Kings County,11238,,https://impacctbrooklyn.org/,40.677805,-73.957119
"Career Resources, Inc.",1000 Lafayette Blvd Suite 303,Bridgeport,CT,Fairfield County,06604,,www.careerresources.org,41.176203,-73.192095
LegalCORPS,1000 Lasalle Avenue,Minneapolis,MN,Hennepin County,55403,,legalcorps.org,44.974525,-93.276455
Vision y Compromiso,1000 North Alameda Street,Los Angeles,CA,Los Angeles County,90012,,visionycompromiso.org,34.05907,-118.23663
Women On The Rise GA,10001 Virginia Ave #203,Hapeville,GA,Fulton County,30354,,womenontherisega.org,33.658773,-84.424106
Wider Opportunities for Women,1001 Connecticut Ave NW #930,Washington,DC,District of Columbia,20010,,www.wowonline.org,38.902854,-77.038967
Harris County Department of Economic Equity and Opportunity,1001 Preston Street,Houston,TX,Harris County,77002,,deeo.harriscountytx.gov,29.761503,-95.360679
National Center for Economics,1003 Barberry Way,Joliet,IL,Will County,60431,,ncfeco.org,41.539046,-88.270031
"Near Northwest Neighborhood, Inc.",1007 Portage Ave,South Bend,IN,St. Joseph County,46616,,nearnorthwest.org,41.688673,-86.263151
City of Winston-Salem/Human Relations,101 N. Main St,Winston-Salem,NC,Forsyth County,27101,,http://cityofws.org,36.095266,-80.243105
City of Dayton,101 West Third Street,Dayton,OH,Montgomery County,45402,,daytonohio.gov,39.75939,-84.19397
Parity Baltimore Incorporated,1014 W 36th St,Baltimore,MD,City of Baltimore,21211,,https://www.parityhomes.com/,39.331254,-76.633449
The Mary & Eliza Freeman Center for History and Community,"1019 Main St, Suite 210",Bridgeport,CT,Fairfield County,06604,,www.freemancenterbpt.org,41.178401,-73.189358
The Gatherings Mentoring Networking Outreach Group,"1020 9th Avenue SW, Suite 212",Bessemer,AL,Jefferson County,35022,,thegatheringsmno.org,33.378536,-86.98826
Justine Petersen Housing & Reinvestment Corporation,1023 N. Grand Blvd.,St. Louis,MO,St. Louis City,63106,1641,justinepetersen.org,38.643244,-90.229476
Housing Assistance Council,1025 Vermont Avenue NW  Suite 606,Washington,DC,District of Columbia,20005,,ruralhome.com,38.903315,-77.032938
Food on the Stove,1026 Cook Drive SE,Washington,DC,District of Columbia,20032,,www.foodonthestove.org,38.844276,-76.9821
Communities In Partnership,103 South Driver Street,Durham,NC,Durham County,27703,,communitiesinpartnership.org,35.985619,-78.877641
Union of the Pan Asian Communities,1031 25th Street,San Diego,CA,San Diego County,92102,2102,www.upacsd.com,32.716419,-117.139945
Centre for Homeownership and Economic Development Corporation,105 W Corbin Street Suite 103,Durham,NC,Durham County,27703,,http://homeownershipcentre-ed.org/,36.082651,-79.10005
Strycker's Bay Neighborhood Council,105 West 86th Street #323,New York City,NY,New York County,10024,,www.westsidecommons.org,40.786792,-73.972483
"DC Department of Insurance, Securities & Banking",1050 First Street NE #801,Washington,DC,District of Columbia,20002,,http://disb.dc.gov,38.903442,-77.006223
PACE Finance Corporation (fka Pacific Asian Consortium on Employment),1055 Wilshire Boulevard Suite 1475,Los Angeles,CA,Los Angeles County,90017,2400,pacelabdc.org,34.05232,-118.2629
Development Corporation of Tarrant County,1059B South University Drive,Forth Worth,TX,Tarrant County,76107,,http://www.devcorptc.net/page2.php,32.732012,-97.361652
Peoples' Self-Help Housing Corporation,1060 Kendall Rd,San Luis Obispo,CA,San Luis Obispo County,93401,7334,http://www.pshhc.org,35.237245,-120.633342
Montgomery Community Action Agency,1066 Adams Avenue,Montgomery County ,AL,Montgomery County,36104,,www.mcaccdcinc.org,32.375434,-86.293844
Coalition For Home Repair,107 E. Courthouse Sq #516,Jonesborough,TN,Washington County,37659,,coalitionforhomerepair.org,36.294119,-82.472577
Tennessee Fair Housing Council,107 Music City Circle Suite 318,Nashville,TN,Davidson County,37214,,http://www.tennfairhousing.org/,36.22234,-86.695666
New Jersey Community Capital,108 Church St,New Brunswick,NJ,Middlesex County,08901,,http://www.newjerseycommunitycapital.org/,40.495711,-74.444648
Entre Capital,"10830 N Central Expy Ste 240, ",Dallas,TX,Dallas County,75251,,entrecapital.com,32.896251,-96.768005
Prosperity Indiana,1099 North Meridian Street Suite 170,Indianapolis,IN,Marion County,46074,,https://www.prosperityindiana.org/,39.781867,-86.156991
Dundalk Renaissance,"11 Center Place, Apt 201",Dundalk,MD,Baltimore County,21222,,https://www.dundalkusa.org,39.257797,-76.521804
"Healthy Neighborhoods, Inc.","11 East Mt Royal Avenue, Suite 302",Baltimore,MD,City of Baltimore,21202,,http://www.healthyneighborhoods.org,39.305309,-76.615286
Reinvestment Partners,110 E. Geer,Durham,NC,Durham County,27701,,www.reinvestmentpartners.org,36.003406,-78.89403
National Association of IOLTA Programs,"110 Horizons Dr., Suite 210",Raleigh,NC,Wake County,27615,,www.iolta.org,35.884893,-78.648995
PICO,"110 Maryland Avenue NE, Suite 201",Washington,DC,District of Columbia,20002,,http://piconetwork.org,38.89165,-77.005119
Appalachian Community Capital,110 Peppers Ferry Road NW,Christiansburg,VA,Montgomery County,24073,,https://appalachiancommunitycapitalcdfi.org/,37.162558,-80.425295
"Fair Housing Resource Center, Inc.",1100 Mentor Avenue,Painesville,OH,Lake County,44077,,http://www.fhrc.org/,41.708267,-81.266569
Consumers Union,"1101 17th Street NW, Suit 500",Washington,DC,District of Columbia,20036,,http://www.consumersunion.org,38.904056,-77.038131
Macon Russell Community Action Agency,1103 Avant Street,Tuskegee,AL, Macon County,36083,,www.caaalabama.org,32.418717,-85.703478
Mobilizing & Organizing Virginians for Engagement (MOVE Chamber),1104 W Broad St #1046,Falls Church,VA,Fairfax County,22046,,movechamber.org,38.893211,-77.18682
"Neighborhood Self Employment Initiative, Inc.",111 Monumuent Circle,Indianapolis,IN,Marion County,46204,,https://indychamber.com/entrepreneurship/,39.769107,-86.157046
Lafayette Consolidated Government,111 Shriley Picard Drive,Lafayette,LA,Lafayette County,70501,,lafayettela.gov,30.232954,-92.005164
Centro Cultural del Condado de Washington,1110 North Adair Street PO Box 708,Cornelius,OR,Washington County,97113,,http://www.centrocultural.org/,45.521077,-123.058154
Columbus Compact dba Columbus Empowerment Corp.,1112 E. Main Street,Columbus,OH,Franklin County,43205,,https://www.columbusempowerment.org/,39.957963,-82.969649
"Chicanos Por La Causa, Inc.",1112 East Buckeye Road,Phoenix,AZ,Maricopa County,85034,4043,http://www.cplc.org/,33.437035,-112.05833
Mni Sota Fund,1113 East Franklin Avenue Suite 200,Minneapolis,MN,Hennepin County,55404,,https://mnisotafund.org/,44.96226,-93.25771
Affordable Homeownership Foundation Inc.,112 Virginia Ave Suite A5,Waynesville,NC,Haywood County,28786,,www.ahf.today,35.476531,-82.999346
Vermont Slauson Economic Development Corporation VSEDC,1130 W. Slauson St.,Los Angeles,CA,Los Angeles County,90044,3710,www.vsedc.org,33.98887,-118.29488
Over-the-Rhine Community Housing (OTRCH),114 W 14TH STREET,Cincinnati,OH,Hamilton County,45202,,www.otrch.org,39.110368,-84.517645
The Ministry of Caring,115 E. 14th Street,Wilmington,DE,New Castle County,19801,,www.ministryofcaring.org,39.748641,-75.543725
NAACP,"1156 15th Street,NW Suite 915",Washington,DC,District of Columbia,20005,,http://www.naacp.org,38.905391,-77.03503
LINC UP Nonprofit Housing Corporation,1167 Madison Avenue SE,Grand Rapids,MI,Kent County,49507,1200,lincrev.org,42.941626,-85.659359
Hispanic Interest Coalition of Alabama,117 Southcrest Drive,Birmingham,AL,Jefferson County,35209,,hicaalabama.org,33.525588,-86.739113
Summit County Land Bank,"1180 S. Main St., Suite 230",Akron,OH,Summit County,44301,,summitlandbank.org,41.054353,-81.528142
Legacy Home and Respite Care Foundation,11801 West Silver Spring Drive,Milwaukee,WI,Milwaukee County,53225,,legacyhomehealthservices.org,43.116565,-88.060148
Empowering and Strengthening Ohio's People,11890 Fairhill Road,Cleveland,OH,Cuyahoga County,44120,,benrose.org,41.491241,-81.599621
Pacific Northwest Tribal Lending (PNTL) fka Lummi Community Development Financial Institution,12 Bellwether Way,Bellingham,WA,Whatcom County,98225,,https://www.lummicdfi.org/,48.754401,-122.495487
Urban Homesteading Assistance Board,120 Wall Street,New York City,NY,New York County,10005,,uhab.org,40.704558,-74.006184
River City Housing,"120 Webster Street, Suite 325",Louisville,KY,Jefferson County,40206,,http://www.rivercityhousing.org,38.257171,-85.727161
Newcap Inc.,1201 Main Street,Oconto,WI,Oconto County,54153,,www.newcap.org,44.887281,-87.865518
STAND,1209 E. 8th St.,Stockton,CA,San Joaquin County,95206,,http://standcommunity.org,37.931538,-121.26873
Housing Land Advocates,121 SW Morrison #1850,Portland,OR,Multnomah County,97204,,https://housinglandadvocates.org/,45.518171,-122.673743
Detroit Hispanic Development Corporation,1211 Trumbull Ave,Detroit,MI,Wayne County,48216,,http://www.dhdc1.org/,42.326588,-83.063791
"Community Action Agency of Jackson, MI",1214 Greenwood Ave.,Jackson,MS,Jackson County,49204,,http://www.caajlh.org/,32.262882,-90.213977
Friends of the Rail Park,1219 Vine St STE M,Philadelphia,PA,Philadelphia County,19107,,https://www.therailpark.org/,39.957783,-75.158841
Community Legal Services of Mid Florida,"122 E. Colonial Drive, Suite 200",Orlando,FL,Orange County,32801,,www.clsmf.org,28.552944,-81.375906
Exodus Lending (fka Minnesotans for Fair Lending),122 W Franklin Ave #600,Minneapolis,MN,Hennepin County,55404,,fairlendingmn.org,44.963452,-93.280434
Fair Housing Council of Oregon,1221 SW Yamhill St Ste 305,Portland,OR,Multnomah County,97205,,http://www.fhco.org/,45.520158,-122.684993
Habitat for Humanity of Council Bluff,1228 South Main Street,Council Bluffs,IA,Pottawattamie County,51503,,habitatcb.org,41.24992,-95.852155
Southwest Georgia United,123 S 7th Street,Cordele,GA,Crisp County,31015,,www.swgau.org,31.968334,-83.782117
Neighborworks Southern Colorado,1241 E Routt,Pueblo,CO,Pueblo County,81004,,nwsoco.org,38.244393,-104.61631
Shiloh Missionary Baptist Church,1241 Grant St,Akron,OH,Summit County,44301,,,41.048915,-81.518367
Alternatives Federal Credit Union,125 North Fulton Street,Ithaca,NY,Tompkins County,14850,,www.alternatives.org,42.439564,-76.510279
Low Income Housing Institute,"1253 South Jackson St, Suite A",Seattle,WA,King County,98144,,www.lihi.org,47.598876,-122.314934
Ubuntu Institute of Learning,127 W. 7th Street,Long Beach,CA,Los Angeles County,90813,,http://www.ubuntulearn.org,33.775518,-118.193138
Farmworker Housing Development Corporation (FHDC),"1274 5th Street, Suite 1-A",Woodburn,OR,Marion County,97071,,http://www.fhdc.org/,45.150204,-122.85392
Neighborhood Housing Services of Chicago,"1279 North Milwaukee Ave, 4th floor",Chicago,IL,Cook County,60622,,http://www.nhschicago.org/,41.905122,-87.668913
Kingdom Community Development Corporation,129 N Main Street,Spring Lake,NC,Harnett County,28390,,kingdomcdc.org,35.167687,-78.976965
Advocates for Basic Legal Equality,130 W. Second St. Suite 700E,Dayton,OH,Montgomery County,45402,,www.ablelaw.org,39.76031,-84.195102
Southside Organizing Center ,"1300 S. Layton Boulevard, 2nd floor",Milwaukee,WI,Milwaukee County,53215,,http://socmilwaukee.org/index/,43.018503,-87.947116
Lion Den Studios,1309 Yukon Street,Bessemer,AL,Jefferson County,35020,,boldasalionstudios.com,33.526052,-86.942737
Association for Enterprise Opportunity,1310 L St NW Suite 830,Washington,DC,District of Columbia,20005,,https://aeoworks.org/,38.903434,-77.03047
"Breakthrough Community Services, Inc.",1313 Country Club Road,Hattiesburg,MS,Forrest County,39401,,www.themtolivechurch.org,31.306087,-89.310048
Philadelphia Association of CDCs,1315 Walnut Street  Suite 1600,Philadelphia,PA,Philadelphia County,19107,,http://www.pacdc.org,39.949315,-75.162639
Pittsburgh Scholar House,1319 Allegheny Avenue,Pittsburgh,PA,Allegheny County,15233,,pghscholarhouse.org,40.455012,-80.020369
Start Small Think Big,132 W 31st St  9th Floor,New York City,NY,New York County,10001,,https://www.startsmallthinkbig.org/get-free-small-business-services,40.748379,-73.990618
Tolson Center for Community Excellence,"1320 Benham Ave, Elkhart",Elkhart,IN,Elkhart County,46516,,tolson.org,41.675215,-85.969481
A New Beginning Home,1320 Reynolds Forest Dr,Winston-Salem,NC,Forsyth County,27107,,,36.078042,-80.192455
Famicos Foundation,1325 Ansel Rd,Cleveland,OH,Cuyahoga County,44106,,https://famicos.org/,41.520487,-81.621252
Greater Washington Community Foundation,1325 G ST NW Suite 480,Washington,DC,District of Columbia,20005,,https://www.thecommunityfoundation.org/,38.898725,-77.030992
National Fair Housing Alliance,"1331 Pennsylvania Avenue, NW, Suite 650",Washington,DC,District of Columbia,20004,,http://www.nationalfairhousing.org,38.896375,-77.031374
Center for American Progress,1333 H NW St,Washington,DC,District of Columbia,20005,,https://www.americanprogress.org/,38.904011,-77.031695
Catapult Greater Pittsburgh (fka Circles),134 S. Highland Avenue,Pittsburgh,PA,Allegheny County,15206,,https://catapultpittsburgh.org,40.460032,-79.925311
"Community Action Agency of Talladega, Clay, Randolph, Calhoun and Cleburne Counties",136 N. Court Street,Talladega,AL,Talladega County,35161,,www.caaalabama.org,33.436883,-86.104142
"Florida Housing Coalition, Inc.","1367 East Lafayette St, Suite C",Tallahassee,FL,Leon County,32301,,www.flhousing.org,30.43454,-84.259005
Fayette County Cultural Trust,139 W CRAWFORD AVE,Connellsville,PA,Fayette County,15425,,www.fayettetrust.org,40.017311,-79.594101
New York Mortgage Coalition,"14 Wall St, 20th Floor",New York City,NY,New York County,10005,,nymc.org,40.707463,-74.011039
River Cities Development Services,1400 East River Drive,Davenport,IA,Scott County,52803,,,41.528068,-90.554545
Habitat for Humanity St. Tammany West,1400 North Lane,Mandeville,LA,St. Tammany Parish County,70471,,www.habitatstw.org,30.428299,-90.039474
Office of Rural and Farmworker Housing,1400 Summitview Avenue #203,Yakima,WA,Yakima County,98902,,http://orfh.org/,46.599448,-120.526806
Latino Economic Development Center (LEDC),"1401 Columbia Rd NW, Unit C-1",Washington,DC,District of Columbia ,20009,,www.ledcmetro.org,38.927921,-77.032993
WFL Collective,"1401 New York Avenue, NE Suite #546",Washington,DC,Washington County,20002,,www.wflcollective.org,38.915552,-76.984809
Genesis Affordable Housing,1403 Andrews Street,Houston,TX,Harris County,77019,,www.freedmantowntoday.com,29.755661,-95.381585
Microenterprise Collaborative of Inland Southern California,14050 Cherry Avenue,Fontana,CA,San Bernardino County,92337,,microbizinsocal.org,34.038982,-117.49869
Urban League of Metropolitan St. Louis,"1408 North Kingshighway Blvd, Ste 325",St. Louis,MO,St. Louis County,63136,,www.ulstl.com,38.66161,-90.261633
Greater Philadelphia Hispanic Chamber of Commerce,"141 E. Hunting Park Ave, Room 148",Philadelphia,PA,Philadelphia County,19124,,http://www.philahispanicchamber.org/,40.013915,-75.125401
Community Legal Services of Philadelphia,1410 W. Erie Ave,Philadelphia,PA,Philadelphia County,19140,,https://clsphila.org/,40.009093,-75.151997
Latin American Youth Center,1419 Columbia Rd. NW,Washington,DC,District of Columbia,20009,,www.layc-dc.org,38.927774,-77.03336
Habitat For Humanity of Kansas City,1423 E Linwood Blvd,Kansas City,MO,Jackson County,64109,,http://www.habitatkc.org,39.068085,-94.566187
Self-Help Housing Corporation of Hawaii,"1427 Dillingham Blvd., Suite 305",Honolulu,HI,Honolulu County,96817,,,21.324135,-157.876532
ReSET,1429 Park Street,Hartford,CT,Hartford County,06106,,resetco.org,41.757729,-72.701997
"Nichols Temple AME, WBEG District",1436 20th Place North,Birmingham,AL,Jefferson County,35234,,nicholstempleamechurch.org,33.529837,-86.816289
Beneficial State Foundation,1438 Webster St Ste 300,Oakland,CA,Alameda County,94612,,http://beneficialstate.org/,37.803715,-122.268462
Piedmont Business Capital,"1451 S. Elm-Eugene St., Suite 2121",Greensboro,NC,Guilford County,27406,,https://www.piedmontbusinesscapital.org/,36.050145,-79.790995
U.S. Economic and Workforce Leadership Coalition,1455 Pennsylvania Avenue NW,Washington,DC,District of Columbia,20004,,www.USCoalition.org,38.896539,-77.032541
Initiating Change in Our Neighborhoods Community Development Corporation,14553 Delano St Suite 212,Van Nuys,CA,Los Angeles County,91411,,Www.iconcdc.org,34.18279,-118.4505
Central American Resource Center (CARECEN),1460 Columbia Road NW  Suite C-1,Washington,DC,District of Columbia,20009,,www.carecendc.org,38.927186,-77.034526
Louisville Metro Affordable Housing Trust Fund,1469 S. 4th Street,Louisville,KY,Jefferson County,40208,,http://www.louisvilleahtf.org/,38.226739,-85.761377
"Grow Brooklyn, Inc.",1474 Myrtle Avenue,Brooklyn,NY,Kings County,11237,,growbrooklyn.org,40.69898,-73.915604
U-SNAP-BAC,14901 E Warren,Detroit,MI,Wayne County,48224,,www.usnapbac.org,42.397329,-82.954425
ACT Lawrence,15 Union Street,Lawrence,MA,Essex County,01840,,actlawrence.org,42.707507,-71.152189
Building Alabama Reinvestment,"1500 1st Avenue North, Unit 12/B106",Birmingham,AL,Jefferson County,35203,,http://www.buildingalabama.org/,33.511227,-86.813984
Birmingham Business Development Initiative,"1500 1st Avenue North, Unit 12/B106",Birmingham,AL,Jefferson County,35203,,,33.511227,-86.813984
Birmingham City Wide,"1500 1st Avenue North, Unit 12/B106",Birmingham,AL,Jefferson County,35203,,http://www.foundationcapital.biz/home.html,33.511227,-86.813984
Chattanooga Neighborhood Enterprise,1500 Chestnut St #102,Chattanooga,TN,Hamilton County,37408,,http://www.cneinc.org/,35.037808,-85.313248
"AL Church, Ninth Episcopal District",1500 Daniel Payne Drive,Birmingham,AL,Jefferson County,35214,,https://www.ninthamechurch.org,33.554253,-86.872733
Birmingham Business Resource Center,1500 First Avenue North  Suite B108,Birmingham,AL,Jefferson County,35203,,www.bbrc.biz,33.511227,-86.813984
PIDC,"1500 Market Street, Suite 3500 West",Philadelphia,PA,Philadelphia County,19102,,http://www.pidcphila.com/,39.952572,-75.165291
United South Broadway Corporation,"1500 Walter Street SE, Suite 202",Albuquerque,NM,Bernalillo County,87125,,www.unitedsouthbroadway.org,35.068514,-106.641246
Homebase Cincinnati,"151 W 4th St, Box 29",Cincinnati,OH,Hamilton County,45202,,https://www.homebasecincy.org/,39.099383,-84.515647
The Primavera Foundation,151 West 40th Street,Tucson,AZ,Pima County,85713,,primavera.org,32.188444,-110.971134
"Bethel Ensley Action Task, Inc. fka Bethel AME, WBEG District",1517 Ave D Ensley,Birmingham,AL,Jefferson County,35218,,BeatBuilds.org,33.516474,-86.895509
Youth Sentencing & Reentry Project,1528 Walnut Street Suite 515,Philadelphia,PA,Philadelphia County,19102,,ysrp.org,39.949521,-75.166852
Northside Community Development Corporation,1530 West Morse Avenue,Chicago,IL,Cook County,60626,,www.northsidecdc.org,42.008,-87.669148
Community Housing Development Corporation of North Richmond (CHDC),"1535 Fred Jackson Way, A",Richmond,CA,Contra Costa County,94801,,www.communityhdc.org,37.954882,-122.367659
"REBOUND, Inc.",1535 West Broadway,Louisville,KY,Jefferson County,40203,,http://www.reboundinc.org,38.248946,-85.777746
Louisville Urban League,1535 West Broadway,Louisville,KY,Jefferson County,40203,,http://www.lul.org/,38.248946,-85.777746
Haven Neighborhood Services,1541 Wildwood Drive,Los Angeles,CA,Los Angeles County,90041,,havenservices.org,34.13028,-118.19978
"Gen-Wealth Empowerment Center, Inc",15417 CARRILLON ESTATES Blvd,Tampa,FL,Hillsborough County,33625,,www.gen-wealthemp.org,28.094875,-82.557875
VIA CDC (fka Layton Boulevard),1545 S Layton Blvd,Milwaukee,WI,Milwaukee County,53215,,viacdc.org,43.014737,-87.949003
National Housing Counseling Agency,"155 Westridge Parkway, #115",McDonough,GA,Henry County,30253,,www.nhcausa.org,33.410683,-84.196608
Mustard Seed Development Center,1557 Vernon Odom Blvd #201,Akron,OH,Summit County,43320,,http://www.mustardseedcdc.com/,41.062913,-81.577456
Rethinking Church Foundation,15720 Brixham Hill Avenue,Charlotte,NC,Mecklenburg County,28277,,rethinkingchurchfoundation.org,35.059243,-80.852135
Hawaii Alliance for Community-Based Economic Development,"1575 South Beretania Street, Suite 211",Honolulu,HI,Honolulu County,96826,,www.hacbed.org,21.298634,-157.836021
Public Citizen,1600 20th Street NW,Washington,DC,District of Columbia,20009,,http://www.citizen.org,38.911322,-77.04521
"Kingsley House, Inc.",1600 Constance Street,New Orleans,LA,Orleans Parish County,70130,,clovernola.org,29.932011,-90.071802
Urban Land Conservancy,"1600 Downing, Suite 300",Denver,CO,Denver County,80218,,https://www.urbanlandc.org/,39.741844,-104.973028
Neighborhood Home Solutions,1600 Dr Martin Luther King St S,St. Petersburg,FL,Pinellas County,33701,5707,http://nhsfl.org,27.754465,-82.646285
"Welfare Reform Liaison Project, Inc.","1600 E. Wendover Avenue, Suite I",Greensboro,NC,Guilford County,27405,,https://www.wrlp.net/,36.086925,-79.763873
Denver VOICE,1600 North Downing Street,Denver,CO,Denver County,80218,,https://www.denvervoice.org/,39.741844,-104.973028
Homeownership Council of America,"1611 East 4th St., Suite 100-B",Santa Ana,CA,Orange County,92701,,homeownershipcouncil.org,33.748569,-117.847397
The Food Trust,1617 John F Kennedy Blvd,Philadelphia,PA,Philadelphia County,19103,,https://thefoodtrust.org/,39.95398,-75.16679
